year,count,mean,median,std
1974,652,22534.98619631902,18505.0,20618.213591168693
1975,674,18254.07715133531,16676.0,14366.372097132462
1976,669,20803.84005979073,15279.0,18405.380869352794
1977,716,21665.33938547486,17335.0,24464.307628931132
1978,791,20047.553729456384,16284.0,18394.1429692029
1980,718,22510.958217270196,16994.0,24191.40530922236
1982,935,17324.300534759357,13563.0,15306.52051299449
1983,829,18697.810615199036,15619.0,16300.365419545302
1984,780,19377.303846153845,15132.0,18050.961323988795
1985,792,21629.635101010103,14515.0,21817.952847762455
1986,759,19482.038208168644,14015.0,18619.811223954144
1987,965,19317.1689119171,16250.0,16901.9932452144
1988,800,19455.7975,15682.0,16579.24736192369
1989,785,20105.23566878981,17394.0,16842.911174539284
1990,741,19838.280701754386,16633.0,19758.123430206175
1991,772,19392.331606217616,15668.0,18557.075435181458
1993,861,22017.876887340302,16703.0,21313.94586199564
1994,1652,20233.0696125908,16235.0,18175.231668746204
1996,1638,21496.67948717949,17038.0,19882.804692842357
1998,1550,21535.367741935483,16363.0,22409.06018159461
2000,1525,22379.964590163934,18287.0,23114.003822376697
2002,1505,27254.207618750166,17206.75,43858.984086634475
2004,1428,26391.870348795517,16604.5,29853.561550017148
2006,2247,23159.452064052068,18476.25,24985.23260717624
2008,1008,31631.467925875,17403.75,74615.14948957933
2010,1020,20795.58334535294,14245.0,20275.552032662
2012,972,26391.846051234566,13475.0,54165.271666246015
2014,1293,23547.031528894044,15372.5,26318.152140953425
2016,1382,23483.048147583213,17550.0,28834.594104374235
2018,1148,25053.69910780488,17025.0,29033.95808765436
